GHI,GTI,TEMP,WS,WD,RH,PREC,AP,PWAT,SWE,PVOUT
688,729,25.5,5.4,14,72.5,0,988.6,31.1,581.11,29788.104
700,741,25.6,5.6,16,72.5,0,987.9,31.2,581.11,30252.957
709,752,25.6,5.7,19,72.4,0,987.6,31.3,581.11,30656.686
718,766,25.7,5.9,21,72.4,0,987.5,31.3,581.11,31166.42
730,780,25.7,6.1,23,72.3,0,987.6,31.4,581.11,31684.379
745,798,25.8,6.2,24,72.3,0,990.2,31.5,581.11,32373.006
747,801,25.9,6.4,26,72.2,0,992.8,31.6,581.11,32508.502
735,789,25.9,6.6,28,72.2,0.1,995.3,31.7,581.11,32094.924
711,764,26,6.8,29,72.2,0.1,997.4,31.7,581.11,31153.656
675,726,25.9,6.7,29,72.6,0.1,995,31.7,581.11,29681.027
642,691,25.8,6.6,28,73,0.1,992.3,31.6,581.11,28329.852
612,659,25.7,6.5,28,73.5,0.1,989.4,31.5,581.11,27103.674
580,626,25.5,6.4,28,73.9,0.1,986.6,31.4,581.11,25829.992
547,592,25.4,6.3,27,74.4,0.1,986.2,31.3,581.11,24503.645
514,559,25.3,6.2,27,74.8,0.1,986.1,31.2,581.11,23178.076
482,527,25.2,6.2,26,75.3,0.1,986.2,31.2,581.11,21849.275
452,498,25.1,6.1,26,75.7,0.1,986.6,31.1,581.11,20572.369
423,470,25,6,26,76.2,0.1,989.3,30.9,581.11,19336.328
397,445,24.9,5.9,25,76.6,0.1,992.2,30.8,581.11,18126.111
374,421,24.8,5.8,25,77,0.1,994.9,30.8,581.11,16960.779
358,404,24.7,5.7,24,77.5,0.1,997.2,30.7,581.11,16071.634
349,401,24.5,5.6,24,78.2,0.1,995,30.9,581.11,15753.984
304,368,24.4,5.5,24,78.9,0.1,992.5,31.2,581.11,14389.954
224,302,24.2,5.4,24,79.6,0.1,989.8,31.5,581.11,11993.192
132,182,24,5.3,23,80.3,0.1,987.1,31.7,581.11,6554.469
30,29,23.9,5.2,23,81,0.1,986.9,32,581.11,949.792
9,9,20.9,3.2,342,86.9,0,988.3,37.9,581.11,76.35
22,22,20.9,3.2,341,86.7,0,991.2,38.1,581.11,569.979
55,62,20.9,3.3,340,86.6,0,994.2,38.3,581.11,1512.566
86,92,20.9,3.3,340,86.4,0,997.1,38.6,581.11,3085.349
125,133,21,3.3,339,86.2,0,999.6,38.8,581.11,4875.095
173,184,21.3,3.4,340,84.9,0,997.3,39,581.11,7097.051
220,233,21.7,3.5,342,83.5,0,994.6,39.1,581.11,9294.401
265,283,22,3.5,343,82.1,0,991.7,39.3,581.11,11505.341
313,333,22.4,3.6,345,80.6,0,989,39.5,581.11,13733.69
363,386,22.8,3.7,346,79.2,0,988.6,39.6,581.11,16049.138
410,436,23.1,3.8,348,77.8,0,988.5,39.8,581.11,18195.006
455,483,23.5,3.8,349,76.4,0,988.7,39.9,581.11,20169.307
504,535,23.9,3.9,350,75,0,989.2,40.1,581.11,22306.738
557,592,24.2,4,351,73.6,0,992.1,40.3,581.11,24601.5
596,637,24.6,4.1,352,72.2,0,995,40.5,581.11,26357.746
621,658,25,4.2,353,70.8,0,997.8,40.7,581.11,27173.496
628,664,25.3,4.3,354,69.4,0,1000.3,40.8,581.11,27339.82
616,650,25.4,4.3,357,69.7,0,997.7,40.7,581.11,26742.406
609,642,25.4,4.3,0,70,0,994.8,40.7,581.11,26376.105
606,633,25.4,4.4,3,70.3,0,991.8,40.6,581.11,26036.312
600,627,25.3,4.5,6,70.6,0,988.8,40.5,581.11,25749.422
591,616,25.3,4.6,9,70.9,0,988.2,40.4,581.11,25314.65
584,609,25.3,4.6,11,71.2,0,987.9,40.3,581.11,24990.105
579,604,25.3,4.7,14,71.5,0,987.9,40.2,581.11,24778.273
573,598,25.4,4.9,16,71.8,0,988.1,40.1,581.11,24535.662
566,590,25.4,5,19,72,0,990.8,40,581.11,24262.615
555,579,25.4,5.1,21,72.3,0,993.5,39.9,581.11,23823.574
540,564,25.4,5.2,23,72.6,0,996,39.8,581.11,23216.646
519,541,25.4,5.4,25,72.9,0,998.2,39.8,581.11,22309.197
491,512,25.3,5.3,25,73.3,0,995.8,40.1,581.11,21098.637
465,480,25.2,5.3,25,73.7,0,992.9,40.4,581.11,19834.617
441,456,25.2,5.2,24,74.1,0,990,40.8,581.11,18847.256
416,430,25.1,5.2,24,74.5,0,987.1,41.1,581.11,17800.561
390,403,25,5.1,24,74.9,0,986.7,41.5,581.11,16692.086
365,377,24.9,5,24,75.2,0,986.4,41.8,581.11,15599.092
340,352,24.8,5,24,75.6,0,986.5,42.1,581.11,14524.834
316,328,24.8,4.9,24,76,0,986.8,42.5,581.11,13498.452
292,308,24.7,4.9,24,76.4,0,989.5,42.8,581.11,12600.254
274,293,24.6,4.8,23,76.8,0,992.3,43.1,581.11,11904.256
263,289,24.6,4.8,23,77.2,0,994.9,43.5,581.11,11585.723
260,289,24.5,4.7,23,77.6,0,997.3,43.8,581.11,11434.913
264,299,24.3,4.6,23,78.3,0,995,44,581.11,11641.575
235,275,24.1,4.5,22,79,0,992.3,44.3,581.11,10414.542
175,213,23.9,4.4,21,79.7,0,989.6,44.5,581.11,7721.003
107,143,23.7,4.3,21,80.5,0,986.9,44.7,581.11,4064.353
23,23,23.5,4.2,20,81.2,0,986.6,44.9,581.11,656.939
9,8,22,3,347,79.6,0,994.7,50.9,581.11,57.907
17,17,22,3,347,79.7,0,997.6,51.1,581.11,303.497
41,40,22,3,348,79.8,0,1000.2,51.2,581.11,1122.469
78,77,22.3,3,350,79.2,0,997.9,51.3,581.11,2650.039
114,113,22.5,3,351,78.6,0,995.2,51.4,581.11,4197.429
148,148,22.8,3,352,78,0,992.4,51.4,581.11,5699.22
185,185,23.1,3.1,353,77.3,0,989.7,51.5,581.11,7348.277
225,228,23.4,3.1,355,76.7,0,989.4,51.5,581.11,9218.38
262,266,23.7,3.1,356,76.1,0,989.3,51.6,581.11,10884.757
296,302,23.9,3.2,357,75.5,0,989.6,51.7,581.11,12406.805
333,341,24.2,3.2,358,74.9,0,990.1,51.7,581.11,14100.739
375,385,24.5,3.2,359,74.3,0,993,51.8,581.11,15958.2
406,421,24.8,3.3,1,73.7,0,996,51.8,581.11,17425.99
426,441,25.1,3.3,2,73.1,0,998.8,51.9,581.11,18257.49
433,444,25.3,3.3,3,72.5,0,1001.3,52,581.11,18367.674
427,438,25.4,3.4,5,72.6,0,998.6,52,581.11,18069.098
424,434,25.4,3.4,8,72.7,0,995.7,52.1,581.11,17908.879
425,434,25.4,3.4,11,72.8,0,992.5,52.2,581.11,17886.914
423,432,25.4,3.5,14,72.9,0,989.5,52.3,581.11,17777.256
419,427,25.4,3.5,16,73,0,988.8,52.4,581.11,17579.164
416,424,25.5,3.6,19,73.1,0,988.4,52.5,581.11,17444.422
414,423,25.5,3.7,21,73.2,0,988.3,52.6,581.11,17374.109
413,421,25.5,3.8,23,73.3,0,988.5,52.6,581.11,17302.186
411,419,25.6,3.8,26,73.4,0,991,52.7,581.11,17228.844
406,414,25.6,3.9,28,73.5,0,993.6,52.8,581.11,17034.396
398,407,25.6,4,30,73.6,0,996.1,52.9,581.11,16718.197
388,396,25.7,4.1,32,73.7,0,998.2,53,581.11,16267.624
374,382,25.6,4.1,32,74.1,0,995.7,53.1,581.11,15684.221
361,368,25.6,4.1,32,74.6,0,992.9,53.2,581.11,15122.46
348,355,25.5,4.2,32,75,0,990,53.3,581.11,14581.92
336,343,25.4,4.2,32,75.4,0,987.1,53.4,581.11,14081.118
324,332,25.4,4.2,32,75.8,0,986.7,53.5,581.11,13619.272
312,320,25.3,4.2,32,76.3,0,986.4,53.6,581.11,13111.846
298,307,25.3,4.2,32,76.7,0.1,986.5,53.7,581.11,12559.436
288,298,25.2,4.2,32,77.1,0.1,986.8,53.8,581.11,12171.454
280,295,25.2,4.3,32,77.5,0.1,989.5,53.9,581.11,12028.188
273,291,25.1,4.3,32,77.9,0.1,992.3,54,581.11,11800.493
265,291,25.1,4.3,32,78.4,0.1,994.9,54.1,581.11,11656.774
263,293,25,4.3,33,78.8,0.1,997.2,54.2,581.11,11573.833
267,303,24.8,4.2,32,79.6,0.1,995,54.2,581.11,11748.808
238,278,24.6,4.1,31,80.3,0.1,992.4,54.1,581.11,10507.141
177,216,24.4,4,29,81.1,0.1,989.8,54.1,581.11,7816.347
110,146,24.2,3.9,28,81.9,0.1,987.1,54.1,581.11,4156.45
24,24,24,3.8,27,82.6,0.1,986.9,54.1,581.11,680.807
19,19,22.5,3.1,336,83.5,0,991,45.7,581.11,369.949
39,39,22.6,3.1,335,83.2,0,994,45.4,581.11,1035.718
63,64,22.7,3.1,334,82.9,0,996.8,45,581.11,2044.014
100,103,22.8,3.1,333,82.5,0,999.3,44.7,581.11,3654.188
150,157,23,3.1,337,81.6,0,997,44.6,581.11,5966.865
198,208,23.3,3.2,340,80.7,0,994.3,44.5,581.11,8202.718
245,256,23.6,3.2,344,79.7,0,991.5,44.5,581.11,10347.588
295,309,23.9,3.3,347,78.7,0,988.8,44.4,581.11,12640.94
348,366,24.1,3.3,350,77.8,0,988.5,44.3,581.11,15097.284
398,421,24.4,3.4,353,76.8,0,988.4,44.2,581.11,17477.885
444,470,24.6,3.5,356,75.9,0,988.6,44.2,581.11,19534.363
495,525,24.9,3.6,359,75,0,989.1,44.1,581.11,21782.039
551,584,25.2,3.7,2,74,0,992,44,581.11,24213.732
596,636,25.5,3.8,4,73,0,995,43.9,581.11,26239.914
629,672,25.7,3.9,6,72.1,0,997.8,43.8,581.11,27598.408
654,697,26,4,9,71.2,0,1000.2,43.7,581.11,28572.643
669,714,26.1,4.1,11,70.9,0,997.6,43.8,581.11,29185.424
685,730,26.2,4.1,13,70.6,0,994.7,43.9,581.11,29803.998
701,747,26.3,4.1,15,70.3,0,991.6,44,581.11,30427.721
718,766,26.3,4.1,16,70.1,0,988.6,44.1,581.11,31112.641
737,787,26.4,4.1,18,69.8,0,987.9,44.1,581.11,31856.637
753,804,26.5,4.1,20,69.6,0,987.6,44.2,581.11,32507.533
767,820,26.6,4.2,22,69.3,0,987.5,44.3,581.11,33066.738
785,841,26.7,4.2,24,69,0,987.6,44.4,581.11,33859.535
809,871,26.9,4.3,26,68.7,0,990.2,44.5,581.11,34965.832
814,878,27,4.3,28,68.4,0,992.8,44.6,581.11,35218.016
800,864,27.1,4.3,29,68.2,0,995.3,44.7,581.11,34713.074
769,831,27.1,4.4,31,67.9,0,997.4,44.7,581.11,33510.738
721,777,27,4.4,31,68.7,0,994.9,44.6,581.11,31510.533
678,731,26.9,4.3,32,69.6,0,992.1,44.4,581.11,29776.234
639,690,26.7,4.3,32,70.4,0,989.2,44.2,581.11,28224.564
597,644,26.5,4.3,32,71.3,0,986.3,44.1,581.11,26467.061
550,595,26.4,4.2,33,72.1,0,985.8,43.9,581.11,24494.887
506,544,26.2,4.2,33,72.9,0,985.6,43.7,581.11,22482.123
465,501,26.1,4.2,33,73.8,0,985.6,43.6,581.11,20710.051
422,456,25.9,4.1,34,74.6,0,985.9,43.4,581.11,18819.23
377,409,25.8,4.1,34,75.4,0,988.6,43.2,581.11,16806.859
346,378,25.7,4.1,34,76.2,0,991.3,43.1,581.11,15417.019
328,366,25.5,4,35,77.1,0,993.9,42.9,581.11,14730.845
320,361,25.3,4,35,77.9,0,996.2,42.7,581.11,14291.153
323,369,25.1,3.9,34,78.9,0,993.9,42.6,581.11,14432.41
289,340,24.9,3.8,33,79.9,0,991.3,42.4,581.11,13067.823
216,273,24.6,3.7,32,80.8,0,988.5,42.2,581.11,10314.524
135,192,24.4,3.6,31,81.8,0,985.8,42.1,581.11,6040.936
26,25,24.2,3.5,30,82.8,0,985.5,41.9,581.11,848.523
9,9,21.6,2.2,352,76.2,0,986.8,40.9,581.11,69.557
21,21,21.6,2.2,354,76.9,0,989.8,41.2,581.11,537.097
54,60,21.6,2.2,355,77.5,0,992.9,41.5,581.11,1451.074
84,89,21.6,2.2,356,78.1,0,995.8,41.7,581.11,2992.506
120,126,21.6,2.2,357,78.6,0,998.4,41.9,581.11,4607.527
163,170,21.9,2.3,0,78,0,996,41.8,581.11,6542.666
205,213,22.2,2.4,4,77.4,0,993.4,41.6,581.11,8486.011
247,258,22.6,2.5,7,76.8,0,990.5,41.3,581.11,10483.461
295,308,22.9,2.6,9,76.2,0,987.8,41.1,581.11,12679.483
348,365,23.2,2.7,12,75.6,0,987.5,40.9,581.11,15138.609
398,421,23.5,2.8,15,75,0,987.4,40.7,581.11,17531.369
445,471,23.9,2.9,17,74.4,0,987.6,40.5,581.11,19608.449
497,526,24.2,3,19,73.8,0,988.1,40.3,581.11,21894.422
554,587,24.5,3.1,21,73.2,0,991,40.1,581.11,24379.334
599,640,24.8,3.2,23,72.6,0,994,39.9,581.11,26440.607
633,676,25.2,3.4,24,72,0,996.8,39.7,581.11,27828.926
657,701,25.4,3.5,26,71.4,0,999.2,39.5,581.11,28761.951
671,715,25.6,3.6,27,71.2,0,996.6,39.6,581.11,29265.822
685,730,25.7,3.6,28,71,0,993.7,39.8,581.11,29823.328
701,747,25.7,3.7,29,70.8,0,990.5,40,581.11,30434.414
718,765,25.8,3.8,30,70.6,0,987.5,40.2,581.11,31131.539
737,786,25.9,3.8,31,70.4,0,986.8,40.4,581.11,31911.756
753,804,26,3.9,32,70.3,0,986.5,40.6,581.11,32561.934
765,818,26.1,4,33,70.1,0,986.4,40.7,581.11,33084.09
782,837,26.2,4.1,33,69.9,0,986.5,40.9,581.11,33798.109
802,861,26.3,4.1,34,69.7,0,989,41,581.11,34697.078
806,869,26.4,4.2,35,69.5,0,991.6,41.2,581.11,34982.445
792,855,26.5,4.3,36,69.3,0,994.1,41.4,581.11,34482.262
763,824,26.5,4.4,36,69.1,0,996.2,41.5,581.11,33320.359
718,772,26.4,4.4,37,70,0,993.8,41.7,581.11,31400.693
676,728,26.2,4.5,37,70.8,0,991,41.8,581.11,29735.65
638,688,26.1,4.5,37,71.7,0,988,41.9,581.11,28241.279
596,644,25.9,4.5,37,72.6,0,985.2,42,581.11,26511.803
550,594,25.7,4.6,37,73.4,0,984.7,42.1,581.11,24537.506
507,544,25.5,4.6,37,74.3,0,984.5,42.2,581.11,22547.572
466,503,25.4,4.7,38,75.2,0,984.5,42.4,581.11,20822.465
425,459,25.2,4.7,38,76,0,984.8,42.5,581.11,19004.289
382,415,25,4.8,38,76.9,0,987.5,42.6,581.11,17091.951
351,385,24.9,4.8,38,77.7,0,990.3,42.7,581.11,15726.687
332,371,24.7,4.9,38,78.6,0,992.9,42.9,581.11,14989.368
323,364,24.5,4.9,38,79.4,0,995.2,43,581.11,14457.257
323,369,24.3,4.7,36,80,0,993,43,581.11,14444.876
287,337,24.2,4.4,34,80.6,0,990.4,43,581.11,12975.021
215,265,24,4.2,31,81.2,0,987.8,42.9,581.11,9886.083
135,188,23.8,4,28,81.7,0,985.1,42.9,581.11,5670.352
26,26,23.7,3.8,25,82.3,0,984.9,42.8,581.11,866.157
9,9,23.4,4,13,82.4,0.1,989.3,36.9,581.11,67.018
21,21,23.4,4,13,82.4,0.1,989.3,36.9,581.11,523.274
45,50,23.4,4,13,82.4,0.1,989.3,36.9,581.11,1106.574
59,61,23.4,4,13,82.4,0.1,989.3,36.9,581.11,1851.164
87,89,23.4,4,13,82.4,0.1,989.3,36.9,581.11,3052.346
130,134,23.4,4,13,82.4,0.1,989.3,36.9,581.11,4991.225
172,178,23.4,4,13,82.4,0.1,989.3,36.9,581.11,6917.043
213,220,23.4,4,13,82.4,0.1,989.3,36.9,581.11,8794.416
258,268,23.4,4,13,82.4,0.1,989.3,36.9,581.11,10934.963
307,320,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13204.732
352,368,23.4,4,13,82.4,0.1,989.3,36.9,581.11,15302.345
395,413,23.4,4,13,82.4,0.1,989.3,36.9,581.11,17216.176
442,466,23.4,4,13,82.4,0.1,989.3,36.9,581.11,19471.521
493,521,23.4,4,13,82.4,0.1,989.3,36.9,581.11,21784.582
534,564,23.4,4,13,82.4,0.1,989.3,36.9,581.11,23554.613
563,595,23.4,4,13,82.4,0.1,989.3,36.9,581.11,24796.254
581,614,23.4,4,13,82.4,0.1,989.3,36.9,581.11,25568.469
589,622,23.4,4,13,82.4,0.1,989.3,36.9,581.11,25879.074
598,631,23.4,4,13,82.4,0.1,989.3,36.9,581.11,26251.361
609,643,23.4,4,13,82.4,0.1,989.3,36.9,581.11,26685.949
620,654,23.4,4,13,82.4,0.1,989.3,36.9,581.11,27145.418
631,667,23.4,4,13,82.4,0.1,989.3,36.9,581.11,27629.994
641,677,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28057.064
649,687,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28427.383
660,699,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28949.49
674,721,23.4,4,13,82.4,0.1,989.3,36.9,581.11,29809.471
676,723,23.4,4,13,82.4,0.1,989.3,36.9,581.11,29921.838
664,711,23.4,4,13,82.4,0.1,989.3,36.9,581.11,29472.439
640,686,23.4,4,13,82.4,0.1,989.3,36.9,581.11,28489.834
605,648,23.4,4,13,82.4,0.1,989.3,36.9,581.11,26959.371
572,608,23.4,4,13,82.4,0.1,989.3,36.9,581.11,25390.48
542,577,23.4,4,13,82.4,0.1,989.3,36.9,581.11,24129.521
509,543,23.4,4,13,82.4,0.1,989.3,36.9,581.11,22733.537
475,506,23.4,4,13,82.4,0.1,989.3,36.9,581.11,21200.574
442,472,23.4,4,13,82.4,0.1,989.3,36.9,581.11,19733.137
410,439,23.4,4,13,82.4,0.1,989.3,36.9,581.11,18331.039
378,406,23.4,4,13,82.4,0.1,989.3,36.9,581.11,16915.814
347,374,23.4,4,13,82.4,0.1,989.3,36.9,581.11,15484.343
323,352,23.4,4,13,82.4,0.1,989.3,36.9,581.11,14462.878
308,341,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13824.756
302,338,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13493.982
304,346,23.4,4,13,82.4,0.1,989.3,36.9,581.11,13596.94
271,317,23.4,4,13,82.4,0.1,989.3,36.9,581.11,12186.396
203,247,23.4,4,13,82.4,0.1,989.3,36.9,581.11,9193.243
127,172,23.4,4,13,82.4,0.1,989.3,36.9,581.11,5169.314
27,26,23.4,4,13,82.4,0.1,989.3,36.9,581.11,834.303